"","mean","sd"
"ruRES",0.0984640176428571,0.247060689244154
"urbRES",0.141928321785714,0.169607378532972
"totRES",0.240392339428571,0.280182945810331
"intURB",0.3369539205,0.422577000755984
"intURB_IND",0.4213291225,0.413067280246522
"grass",0.299196884857143,0.203598302649974
"greenery",0.406248105071429,0.241140650148936
"greenery_bareEarth",0.407210809142857,0.240416395379916
"not_greenBE",0.592789190857143,0.240416395379916
"not_green",0.593751894928571,0.241140650148936
"paved",0.383081978142857,0.200399066703684
"log_paved",-1.086886284212,0.52755891903004
"roofs",0.195431326214286,0.0898474575732804
"impervious",0.5785133045,0.21984590763549
"nodev",0.128194404071429,0.172928741376056
"trees",6.08311630257143,7.4782878747723
"sqrt_traffic",22.5708111480594,16.0355508044708
"sqrt_traffic_max",146.144288041169,137.962051365628
"sqrt_traffic_mean",22.9949744626297,16.3193359617572
"sqrt_traffic_sum",794.892483843785,1163.48699342919
"roads",0.253011057928571,0.0958092124921819
"rail_max",0.285714285714286,0.468807230938495
"rail_mean",0.0563531819285714,0.141065745370815
"rail_sum",33.8966386628571,61.0239100240337
"sqrt_popn",4.02120325264973,2.56258853698168
"no2",3.77430696092857,0.821662363337308
"pm25_na",5.73443519914286,0.696353819335042
"partSA",105.536693418571,15.9321307428477
"sqrt_slope",1.4963194639183,0.700341418144339
"sqrt_CO2_res",16.7235333905444,10.6712756220175
"sqrt_CO2_com",16.1868988530719,11.22278114433
"sqrt_CO2_road",43.2465970725832,22.2014408414668
"sqrt_CO2_nonroad",13.9533584319555,7.40305709436356
"sqrt_CO2_almostTotal",53.7283379938245,23.0564692941981
"sqrt_CO2_transport",46.9650697030987,21.0194042610102
"sqrt_CO2_cmv_rail",7.1050513173724,15.9937439104821
"log_CO2_cmv_rail",1.89161167315828,2.65647553797752
"sqrt_CO2_transport_max",57.4178455049481,28.111090468655
"sqrt_CO2_transport_mean",46.9650697030987,21.0194042610102
"sqrt_CO2_transport_sum",1390.13350921484,1518.83262266116
"devAge2",11.0108836329111,4.62964880461636
"roof_intURB",0.0884072699285714,0.129475811753213
"roof_urbRES",0.0228809497142857,0.0371884588322278
"roof_intURB_IND",0.102586927142857,0.125952268282179
"roof_totRES",0.0359053322142857,0.0431878674881679
